Date,Open,High,Low,Close,Volume
29-03-2007,8.85,9.31,8.66,8.76,6079800
30-03-2007,8.83,9,8.55,8.99,419500
02-04-2007,9,10.59,8.99,10.38,749100
03-04-2007,10.7,11.66,10.4,10.58,835700
04-04-2007,10.4,10.99,10.03,10.16,309500
05-04-2007,10.02,10.25,9.52,9.8,424900
09-04-2007,9.95,10.36,9.88,10,174300
10-04-2007,9.96,10.12,9.66,9.8,106800
11-04-2007,9.71,9.86,9.5,9.54,107000
12-04-2007,9.5,9.97,9.5,9.85,88800
13-04-2007,9.98,9.98,9.66,9.74,60200
16-04-2007,9.7,10.25,9.6,10.15,135400
17-04-2007,10.25,10.4,10.06,10.25,89100
18-04-2007,10.43,10.5,10.04,10.37,100800
19-04-2007,10.19,10.29,9.82,9.89,71900
20-04-2007,10.07,10.07,9.79,9.86,139700
23-04-2007,9.77,10.07,9.77,9.85,77400
24-04-2007,9.9,10,9.73,9.83,70800
25-04-2007,9.8,10.49,9.8,10.35,160000
26-04-2007,10.47,10.47,10.12,10.19,73400
27-04-2007,10.11,10.4,9.99,10.2,112200
30-04-2007,10.2,11.06,10.2,10.41,271900
01-05-2007,10.5,10.9,10.1,10.49,124000
02-05-2007,10.53,10.64,10.4,10.4,60900
03-05-2007,10.41,10.5,10.31,10.43,84300
04-05-2007,10.4,10.6,10.37,10.58,72200
07-05-2007,10.76,11.05,10.4,10.57,174100
08-05-2007,10.5,10.6,10.45,10.5,146900
09-05-2007,10.89,11.35,10.5,11.24,408200
10-05-2007,10.87,10.87,9.96,10.15,491000
11-05-2007,10.22,10.5,10,10.4,271700
14-05-2007,10.44,10.5,10.2,10.43,209800
15-05-2007,10.2,10.43,10.2,10.24,133600
16-05-2007,10.2,10.39,10,10.1,86100
17-05-2007,10,10.08,10,10.02,111000
18-05-2007,10,10.1,9.74,10.02,187100
21-05-2007,10.01,10.09,9.92,10.04,215600
22-05-2007,9.95,10.11,9.95,10.04,82500
23-05-2007,9.96,10.12,9.96,10,76300
24-05-2007,9.97,10.08,9.93,9.99,60600
